request_id,strategy,server_id,response_time_ms
0,RoundRobin,srv-1,164.39978945455994
1,RoundRobin,srv-2,149.39791130437985
2,RoundRobin,srv-3,137.88360464009443
3,RoundRobin,srv-4,132.38610883262004
4,RoundRobin,srv-5,124.49761542482217
5,RoundRobin,srv-1,146.82756037495827
6,RoundRobin,srv-2,155.50689633201017
7,RoundRobin,srv-3,140.62679689092892
8,RoundRobin,srv-4,134.43937609010672
9,RoundRobin,srv-5,125.56500404177147
10,RoundRobin,srv-1,146.31219148744236
11,RoundRobin,srv-2,161.56472703745848
12,RoundRobin,srv-3,143.99512675111058
13,RoundRobin,srv-4,136.51083189519997
14,RoundRobin,srv-5,109.4475984009646
15,RoundRobin,srv-1,145.41580711610928
16,RoundRobin,srv-2,155.64758595231058
17,RoundRobin,srv-3,140.68478651863052
18,RoundRobin,srv-4,139.6561795454143
19,RoundRobin,srv-5,110.50639742497246
20,RoundRobin,srv-1,145.85065760461325
21,RoundRobin,srv-2,154.3708183513217
22,RoundRobin,srv-3,150.95558385560687
23,RoundRobin,srv-4,140.29496979006092
24,RoundRobin,srv-5,123.51509807107291
25,RoundRobin,srv-1,151.09981990350457
26,RoundRobin,srv-2,158.00085721887368
27,RoundRobin,srv-3,137.9129564799263
28,RoundRobin,srv-4,133.51246186051526
29,RoundRobin,srv-5,108.82584085274165
30,RoundRobin,srv-1,152.34648786553524
31,RoundRobin,srv-2,151.85622125378976
32,RoundRobin,srv-3,144.8858447643495
33,RoundRobin,srv-4,139.2605953354529
34,RoundRobin,srv-5,113.33547373985515
35,RoundRobin,srv-1,145.49187627611434
36,RoundRobin,srv-2,150.36691204973886
37,RoundRobin,srv-3,155.5793030023269
38,RoundRobin,srv-4,145.24064300492554
39,RoundRobin,srv-5,110.62344816474915
40,RoundRobin,srv-1,150.66593500307096
41,RoundRobin,srv-2,157.64688762484093
42,RoundRobin,srv-3,142.0358664144695
43,RoundRobin,srv-4,137.04056489862577
44,RoundRobin,srv-5,106.92413679025329
45,RoundRobin,srv-1,147.1089184060932
46,RoundRobin,srv-2,153.657251866773
47,RoundRobin,srv-3,144.34535999291197
48,RoundRobin,srv-4,140.87458541586275
49,RoundRobin,srv-5,116.13902727342942
50,RoundRobin,srv-1,149.26819309023452
51,RoundRobin,srv-2,154.99448735969273
52,RoundRobin,srv-3,152.13208988528515
53,RoundRobin,srv-4,136.9250156274897
54,RoundRobin,srv-5,113.48827407572091
55,RoundRobin,srv-1,161.89108706105847
56,RoundRobin,srv-2,151.88482156244868
57,RoundRobin,srv-3,138.83527711828978
58,RoundRobin,srv-4,140.5187704613213
59,RoundRobin,srv-5,121.30249188369787
60,RoundRobin,srv-1,170.51574612103119
61,RoundRobin,srv-2,160.84018148878164
62,RoundRobin,srv-3,143.76783732462633
63,RoundRobin,srv-4,138.0366766351294
64,RoundRobin,srv-5,114.53412717571229
65,RoundRobin,srv-1,148.7805473365842
66,RoundRobin,srv-2,173.49099865350593
67,RoundRobin,srv-3,140.7529781400029
68,RoundRobin,srv-4,137.28534216735537
69,RoundRobin,srv-5,125.83419019842131
70,RoundRobin,srv-1,154.09869270159024
71,RoundRobin,srv-2,157.51819168457942
72,RoundRobin,srv-3,158.45002512513065
73,RoundRobin,srv-4,144.65652043044386
74,RoundRobin,srv-5,114.53293111371681
75,RoundRobin,srv-1,146.4419009863627
76,RoundRobin,srv-2,163.6591013658423
77,RoundRobin,srv-3,162.4040527937516
78,RoundRobin,srv-4,140.22128975418187
79,RoundRobin,srv-5,113.56433248484251
80,RoundRobin,srv-1,149.33422754695684
81,RoundRobin,srv-2,156.35661658554838
82,RoundRobin,srv-3,146.34474933017717
83,RoundRobin,srv-4,141.90177621919597
84,RoundRobin,srv-5,108.50715342764146
85,RoundRobin,srv-1,154.28507115874433
86,RoundRobin,srv-2,158.17287716013288
87,RoundRobin,srv-3,144.9405172723077
88,RoundRobin,srv-4,144.99719054664607
89,RoundRobin,srv-5,114.73399925530735
